date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:29	36396/36396	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2014:37:29%20GMT	https://rohandhawan.com/onboarding-3/	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/onboarding-3/index.html	(from )
20:07:29	70/70	---MCZ	200	added ('OK')	text/plain	date:Fri,%2008%20Jan%202021%2014:37:29%20GMT	https://rohandhawan.com/robots.txt		(from )
20:07:29	51433/51433	---MCZ	200	added ('OK')	text/css	etag:W/%225fd7feac-c8e9%22	https://rohandhawan.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-includes/css/dist/block-library/style.min40df.css	(from https://rohandhawan.com/onboarding-3/)
20:07:30	20316/20316	---MCZ	200	added ('OK')	text/css	etag:W/%225fb26f44-4f5c%22	https://rohandhawan.com/wp-content/uploads/bb-plugin/cache/2068-layout.css?ver=7cd77f0e2e82c01f33bc7232b20fbe7b	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-content/uploads/bb-plugin/cache/2068-layout73eb.css	(from https://rohandhawan.com/onboarding-3/)
20:07:30	3033/3033	---MCZ	200	added ('OK')	text/css	etag:W/%225e272072-bd9%22	https://rohandhawan.com/wp-content/plugins/bootstrap-modals/css/bootstrap.css?ver=3.3.7	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-content/plugins/bootstrap-modals/css/bootstrap7433.css	(from https://rohandhawan.com/onboarding-3/)
20:07:30	47355/47355	---MCZ	200	added ('OK')	text/css	etag:W/%225fbce75c-b8fb%22	https://rohandhawan.com/wp-content/themes/neve/style.min.css?ver=2.9.0	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-content/themes/neve/style.min5b0a.css	(from https://rohandhawan.com/onboarding-3/)
20:07:31	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd7feac-15d98%22	https://rohandhawan.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://rohandhawan.com/onboarding-3/)
20:07:31	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd7feac-2bd8%22	https://rohandhawan.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://rohandhawan.com/onboarding-3/)
20:07:31	1487/1487	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbce6dc-5cf%22	https://rohandhawan.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1.11.6	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker0455.js	(from https://rohandhawan.com/onboarding-3/)
20:07:32	11125/11125	---M--	200	added ('OK')	image/png	etag:%225dbd6904-2b75%22	https://rohandhawan.com/wp-content/uploads/2019/11/Rohan-Dhawan-black-150x150.png	C:/My%20Web%20Sites/https___rohandhawan.com_onboarding-3_/rohandhawan.com/wp-content/uploads/2019/11/Rohan-Dhawan-black-150x150.png	(from https://rohandhawan.com/onboarding-3/)
